Title,Release Year,Genre,Rating,Summary
Trap,1975,Family,0,Add a Plot
Video 2000,1975,Sport,0,Add a Plot
Video Action,1975,Sport,0,Add a Plot
War,1975,Family,0,Add a Plot
Word,1975,Family,0,Add a Plot
Tank III,1975,Action,0,Add a Plot
Lunar Lander,1975,Sci-Fi,0,"A simple text-based variant of Lunar Lander (1973). The player must try to land a lunar landing module on the moon keeping into account fuel, velocity, and distance to the surface. The game is written in BASIC."
Card Game,1975,NA,0,A computer adaptation of Las Vegas-style Blackjack written in BASIC for the Altair 8800.
Blackjack,1975,NA,0,A computer implementation of the classic card game.
Jotto,1975,Family,0,A word guessing game similar to Mastermind. The player must guess a five-letter word.
Dice Game,1975,NA,0,A game of dice on a basic Altair 8800.
Kill the Bit,1975,NA,0,A reflex game for the Altair 8800.
Diddle,1975,Family,0,A puzzle game for the Altair 8800. It doesn't use a monitor and is played entirely on the address lights on the computer.
Number Guessing Routine,1975,Family,0,"A number guessing game played on the front panel of the Altair 8800. The computer has a number in mind and the player uses the switches to guess for a number. The computer will indicate using the led lights if it's correct, high or low."
Ping Pong,1975,Family,0,A very simplistic Pong (1972) variant played on the front panel of an Altair 8800.
Square,1975,Family,0,Players take turns claiming free points in a grid.
Dodgem,1975,Family,0,A two-player sliding block game that can be played against the computer or another player.
Shooting Trainer,1975,Western,0,Add a Plot
Night Driver,1976,Family,6.2,A nighttime driving game where your headlights illuminate the posts on both sides of the road. The object is to stay on the road as long as possible without crashing. As the game progresses                
Death Race,1976,"Action, Sci-Fi",7.2,The first controversial video game to feature the race car driver running over pedestrians to their grave to score points.
Outlaw,1976,"Action, Western",4.6,"You are a wild-west gunslinging stick-figure shooting at a moving target, a stagecoach, a cactus, or an opponent. Bright colors and very simple design, with pinging bullet ricochets."
Colossal Cave Adventure,1976,"Adventure, Fantasy",6.8,A text based adventure game where the player must type in command words to explore a cave that holds treasure along with puzzles to solve along the quest.
Datsun 280 ZZZAP,1976,Sport,0,Add a Plot
Olympics,1976,Sport,0,"Olympics contains 60 game variations, most of them Pong variants. Games included are 10 Ping Pong variants, 10 Hockey variants, 5 Tennis variants, 5 Volleyball variants, 10 Basketball                 "
Grand Prix,1976,Sport,0,Auto Sports 10 is a top-down racing game with 10 variations. There are three different game types. Grand Prix uses a scrolling racetrack that is straight on which the player must avoid                 
4 in 1,1976,Sport,0,Add a Plot
Ace,1976,Action,0,Add a Plot
Air Combat,1976,Action,0,Add a Plot
Stunt Cycle,1976,Action,3.2,"Land the perfect jump by getting the right amount of speed. If you get too much, you will fall over."
f-1,1976,Sport,0,Add a Plot
21,1976,NA,0,Add a Plot
Alley Rally,1976,Action,0,Add a Plot
Attack,1976,Action,0,Add a Plot
Avenger,1976,Action,0,Add a Plot
Barricade,1976,Family,0,Add a Plot
Bigfoot Bonkers,1976,Family,0,Add a Plot
Block Buster,1976,Family,0,Add a Plot
Blockade,1976,Family,5.8,Add a Plot
Bombs Away,1976,Action,0,Add a Plot
Cannonball,1976,Action,0,Add a Plot
Maze Game,1976,Family,4.6,Add a Plot
Chase1,1976,Action,0,Add a Plot
Ckidzo,1976,NA,0,Add a Plot
Clean Sweep,1976,Family,0,Add a Plot
CoMotion,1976,Family,0,Add a Plot
Cobra Gunship,1976,Action,0,Add a Plot
Cops 'n Robbers,1976,Action,0,Add a Plot
Crashing Race,1976,Action,0,Add a Plot
Eliminator IV,1976,Action,0,Add a Plot
